,preprocessed_reviews,Class
0,work product looking exactly great,Good
1,getting new walmart yet really tired carrier sick activated said phone people like purchased,Bad
2,would low rate lag hdrwcg video better tv ive wonderful high make without picture whatsoever life input latency owned extremely game frame ever experience way,Good
4,given comfortable top loud go band distortion mean rest headphone dont treble ascendance doesnt get wellbalanced lastly ability lot probably track device quality recording actually ear volume high turn bass support headrest band either head fact like occur low due musical good way,Good
5,test time need mehthe one could downgrade sanding connect really make writing picture fails ssid network others worse client camera see public factory update totally reply work firmware support bounce camera another wireless reek havoc ghz connected pc whoever issue okay every stay experience also wish reset response default,Bad
6,main didt mentioned dvd player work purchase reason,Bad
7,wear easy recived account set daily one respond text add,Good
8,product fiance love got dont install bright collected click promotion home light package soon work dim button turn great thing light pretty amazing mail best need want part review,Good
9,plug hand pleased away,Good
10,music sound earphone im connect age away dont trying get ear drop talk ground take great far wronglistening microphone like literally,Neutral
11,son fit yr earbuds would music time set play one could old hot dont got buy returned get say let unplugged neither extremely bought hour money cool work charged thing crap save connected good,Bad
12,surprised clarity audio one video tv really ready hmdi installation output plug use machine cable ease,Good
13,overall k cheapo one television really see sweepstakes light happy motion cheaper blur day great set difference contrast dark apart purchase tv,Good
14,use bought dj facade love two,Good
15,itseasy airplay collected picture promotion color quality use support amazing part review,Good
16,complained onoff prior set code tv install little kid well quality pretty price know sony purchased force fine control accepting dont wall directv bit get feature perfect work hd try please flat purchase tv review choose agree integrated read dvd wall quickly television input extremely accustomed volume easy programing best installed weird first sound one folk there base two worth must follows program panel room player remote,Good
17,speaker used tell doesnt online broke phone,Bad
18,incredible love sound trying bday feature bought husband forward looking,Good
19,register compute secure band set connect video horizontal record encryption got access infrared install discreet banklevel well watching camit device quality o hang app local height certified spec camera dog hidef pretty v price microsd standard approx detail microphone io android download cord want protection n also vision mini fi would fine scanning technology economical could g away dc photograph true really builtin auto internet see appropriate year wi connection clear baby happy normal verification higher discreetly stick hook work result x hd gb p appcontrolled grainy qr ezviz add took spylevel system want hi audio mobile ft mount ieeeb anyone width high level wifi directly recommend wall inch specification subscription switch hardware usb day tall right security pet work start easy adequate wireless ghz adapter best standard enough size code tiny overall level step impressive speed night requirement degree management view storage daynight super cloud power etc slot corner recording throughout cam required minute def angle image thoroughly basic check account warranty good small shelf,Good
20,reacting overall fun fly appears awesome bind minimal guard youre ready little toy read calibration area durable entering control prop well hobby drone grade warned open quick quite instruction great someone mindful leg landing please price offer fly nicely controller wind plenty screw simply hovers good,Good
21,got walmart love blueray k exclusive size great sale,Good
25,old seemed bought godson away gift year right enjoy,Good
27,set easily outside timeout triggered fails star quality keep button constantly reset would time give could negative dead get ear bar holding id text sometimes keyboard trash never drop volume phone half noits nd asap zone simply low go reboot talk lowest send setting resetting straight backlight good call,Bad
28,unfortunate find couldnt onllne stocked store found,Good
29,give sound gift get item received quality gift great wow,Good
30,secondary remotely time sound night primary tv builtin control button feature asleep perfect vizio pictureit day smart great turn someone back amazing nicely meant extra done want fallen call,Good
31,gift he nam home bound viet love early christmas disabled husband vet,Good
32,expected time seems sound little long larger last battery great heavy size,Good
33,first would front low mounted outside got order flawlessly wyze let december garage everyone cam temperature fahrenheit camera back like working know,Good
34,sync charge look sound sharp quickly good fast,Good
35,easier test charge free usually headphone bone make finally get aftershokz beta conduction quickly say life happy well received ear actually headache must work battery seem quite titanium keeping several wireless day problem trekz review also good point,Good
37,took love control awesome temp install le thermostat super sleek anywhere thank minute cabin,Good
38,color pretty fit alta perfect purple dark,Good
39,product vegetarian music play hit tv year really without juicing spot reason two video program etc well vevo cable specialty doesant great enjoy looking empire like show youtube,Good
40,work cup holder good excellent,Good
41,hr terrific alta price fitbitcom walmart fitbit band genuine replacement sell,Good
44,loved sound nice without quickly almost quality plus day great noise cancelation single even pretty issue charge every used good,Good
45,unexpected overall lightnight unbearable expected low lag audio nothing bit simple worth clear well quality use look pleased take load setup app great hd camera thats incredibly even image initially vision price nannycam easy slight surprisingly purchase used motion good,Good
46,watch count gym step make often get accurately workout worth use gadget someone work amazing run issue counted wish,Good
47,primarily im set tv record yet got hard tried company released bought save drive show already running time need specifically everything box get network see raved everyone id use perfect top review house anyone important unbelievable directly read dvd play never watch main beautifully tuner machine money company easy using run connected abouteasy wo dvr come love cheap posted buying seen two anything station cable far program pay additional fill like dvd lot,Good
48,fun protect highly carry buy recommend collected toddler perfectly promotion color great case easy dropped best parent every part review ipad,Good
49,watch run love seems ill connect shut certain vehicle step xr driving still sure well iphone tracking update treadmill far apple thing issue track good figuring,Good
50,long trip old car dvd month great family love portable playerespecially,Good
51,turned fine cause sound would love subwoofer baseps adjust dont buy got get really high base month long cd car owned ago volume turn normally past thing half crap player like ever every distorted also way,Bad
52,great product price,Good
53,fit bentley buying reliable dont collected durable promotion well ear yaris part review expect,Good
55,learning time like keep busy baby,Neutral
56,scratched product screen charge return stuff original got removing owner take oh filthy sticky id shipping paying pain apple thing insurance stuck refurbished wouldnt done used ipad yeah,Bad
